Krośniewice,kutnowski,łódzkie,"4,18",4603,1101
Krotoszyn,krotoszyński,wielkopolskie,"22,54",29 577,1312
Kruszwica,inowrocławski,kujawsko-pomorskie,"6,64",9214,1388
Krynica Morska,nowodworski,pomorskie,"116,01",1349,12
Krynica-Zdrój,nowosądecki,małopolskie,"39,68",11 191,282
Krynki,sokólski,podlaskie,"3,83",2550,666
Krzanowice,raciborski,śląskie,"3,08",2218,720
Krzepice,kłobucki,śląskie,"27,66",4492,162
Krzeszowice,krakowski,małopolskie,"16,97",10 281,606
Krzywiń,kościański,wielkopolskie,"2,27",1629,718
Krzyż Wielkopolski,czarnkowsko-trzcianecki,wielkopolskie,"5,81",6180,1064
Książ Wielkopolski,śremski,wielkopolskie,"1,96",2778,1417
Kudowa-Zdrój,kłodzki,dolnośląskie,"33,90",10 350,305
Kunów,ostrowiecki,świętokrzyskie,"7,26",3148,434
Kutno,kutnowski,łódzkie,"33,59",45 975,1369
Kuźnia Raciborska,raciborski,śląskie,"31,49",5504,175
Kwidzyn,kwidzyński,pomorskie,"21,54",38 931,1807
Lądek-Zdrój,kłodzki,dolnośląskie,"20,32",6023,296
Legionowo,legionowski,mazowieckie,"13,54",54 109,3996
Legnica,Legnica[1],dolnośląskie,"56,29",102 422,1820
Lesko,leski,podkarpackie,"15,33",5674,370
Leszno,Leszno[1],wielkopolskie,"31,86",64 722,2031
Leśna,lubański,dolnośląskie,"8,56",4703,549
Leśnica,strzelecki,opolskie,"14,50",2696,186
Lewin Brzeski,brzeski,opolskie,"11,64",6089,523
Leżajsk,leżajski,podkarpackie,"20,58",14 448,702
Lębork,lęborski,pomorskie,"17,86",35 588,1993
Lędziny,bieruńsko-lędziński,śląskie,"31,65",16 665,527
Libiąż,chrzanowski,małopolskie,"35,85",17 374,485
Lidzbark,działdowski,warmińsko-mazurskie,"5,68",8228,1449
Lidzbark Warmiński,lidzbarski,warmińsko-mazurskie,"14,35",16 539,1153
Limanowa,limanowski,małopolskie,"18,70",15 132,809
Lipiany,pyrzycki,zachodniopomorskie,"5,54",4142,748
Lipno,lipnowski,kujawsko-pomorskie,"10,99",15 077,1372
Lipsk,augustowski,podlaskie,"4,98",2476,497
Lipsko,lipski,mazowieckie,"15,70",5895,375
Lubaczów,lubaczowski,podkarpackie,"25,73",12 552,488
Lubań,lubański,dolnośląskie,"16,12",22 108,1371
